id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,pass_recipient,pass_length,pass_angle,pass_height,pass_end_location,pass_type,pass_body_part,possession_team_id,team_id,player_id,pass_recipient_id,under_pressure,pass_outcome,pass_cross,pass_cut_back,off_camera,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,pass_backheel,pass_goal_assist,pass_switch,counterpress,pass_deflected,pass_miscommunication,player_x,player_y,pass_end_x,pass_end_y
ceae30fc-3f31-4660-aff6-5c2e8adda35c,5,1,00:00:01.450,0,1,Pass,2,Atlético Madrid,From Kick Off,Atlético Madrid,Antoine Griezmann,Left Center Forward,"[61.0, 41.0]",0.401292,['39a40855-2a60-4b06-8cbf-d73f4103d238'],18243,Jorge Resurrección Merodio,2.0,1.5707964,Ground Pass,"[61.0, 43.0]",Kick Off,Right Foot,212,212,5487,5199.0,,1,,,,,,,,,,,,,61.0,41.0,61.0,43.0
9de50022-a44d-4212-86a0-13f7fde8801d,8,1,00:00:02.352,0,2,Pass,2,Atlético Madrid,From Kick Off,Atlético Madrid,Jorge Resurrección Merodio,Left Midfield,"[61.0, 44.0]",1.6133,['7f81d221-9986-4087-9e8e-3281df452f21'],18243,Gabriel Fernández Arenas,16.03122,-3.0791738,Ground Pass,"[45.0, 43.0]",,Right Foot,212,212,5199,6384.0,,1,,,,,,,,,,,,,61.0,44.0,45.0,43.0
3b2f28e7-d5ac-45f5-9b94-0765855ef091,11,1,00:00:03.965,0,3,Pass,2,Atlético Madrid,From Kick Off,Atlético Madrid,Gabriel Fernández Arenas,Right Defensive Midfield,"[46.0, 44.0]",1.834509,"['0a16713f-dabb-47d2-b993-a5d7d6d53d1b', 'f4f5c37b-bfe1-42e8-8d8b-688b8d94d12a']",18243,Stefan Savić,27.89265,1.8244704,Ground Pass,"[39.0, 71.0]",,Right Foot,212,212,6384,6376.0,True,1,,,,,,,,,,,,,46.0,44.0,39.0,71.0
c1cf65b9-2ef8-4c60-a530-ab74a6188134,14,1,00:00:07.040,0,7,Pass,2,Atlético Madrid,From Kick Off,Atlético Madrid,Stefan Savić,Right Center Back,"[42.0, 72.0]",0.650422,['5d99ada1-b657-41d3-ab69-518bba954e3a'],18243,,4.0,0.0,High Pass,"[46.0, 72.0]",,Right Foot,212,212,6376,,,0,,,,,,,,,,,,,42.0,72.0,46.0,72.0
fc8923d2-794c-4950-8703-5fdeada80e9e,16,1,00:00:28.116,0,28,Pass,3,Atlético Madrid,From Throw In,Atlético Madrid,Juan Francisco Torres Belén,Right Back,"[36.0, 80.0]",1.537,['2b189bd4-0c16-42d5-b435-4fbfc58a0e1f'],18243,Saúl Ñíguez Esclapez,20.09975,-0.09966865,High Pass,"[56.0, 78.0]",Throw-in,,212,212,6375,6381.0,,1,,,,,,,,,,,,,36.0,80.0,56.0,78.0
9eda7a1b-af05-4573-b484-f98030b6ded0,18,1,00:00:29.653,0,29,Pass,3,Atlético Madrid,From Throw In,Atlético Madrid,Saúl Ñíguez Esclapez,Right Midfield,"[56.0, 78.0]",1.818311,"['47bab655-c920-43f0-94f1-c7be7ab27c6d', 'd5ba78f4-a251-45e2-9f1f-48bd7bc97174']",18243,Fernando José Torres Sanz,15.0,0.0,High Pass,"[71.0, 78.0]",,Head,212,212,6381,6382.0,,0,,,,,,,,,,,,,56.0,78.0,71.0,78.0
6a67e309-bb7a-4c3d-aee5-da4152c1a6be,23,1,00:01:06.702,1,6,Pass,4,Real Madrid,From Free Kick,Real Madrid,Sergio Ramos García,Left Center Back,"[42.0, 9.0]",1.737078,['d2b745ca-9937-466d-a67b-3c905effa040'],18243,Toni Kroos,9.486833,-0.32175055,Ground Pass,"[51.0, 6.0]",Free Kick,Right Foot,220,220,5201,5574.0,,1,,,,,,,,,,,,,42.0,9.0,51.0,6.0
1400aca5-3206-4a55-b011-bd624f7fdae0,25,1,00:01:08.439,1,8,Pass,4,Real Madrid,From Free Kick,Real Madrid,Toni Kroos,Left Center Midfield,"[50.0, 6.0]",1.06572,['b33c58e0-c5d8-472d-b924-ecf591454cae'],18243,Carlos Henrique Casimiro,21.023796,1.5232133,Ground Pass,"[51.0, 27.0]",,Right Foot,220,220,5574,5539.0,,1,,,,,,,,,,,,,50.0,6.0,51.0,27.0
a61bdf3d-8f4c-44d4-953c-4a1c0190bda5,28,1,00:01:10.756,1,10,Pass,4,Real Madrid,From Free Kick,Real Madrid,Carlos Henrique Casimiro,Center Defensive Midfield,"[49.0, 30.0]",1.448263,['99cba1de-4252-4278-b759-3fadd6227cca'],18243,Luka Modrić,18.0,1.5707964,Ground Pass,"[49.0, 48.0]",,Right Foot,220,220,5539,5463.0,,1,,,,,,,,,,,,,49.0,30.0,49.0,48.0
eff931ab-250a-4c6a-95f7-d656847c883d,31,1,00:01:12.204,1,12,Pass,4,Real Madrid,From Free Kick,Real Madrid,Luka Modrić,Right Center Midfield,"[49.0, 48.0]",1.801201,"['e4cce005-c642-479f-b40c-5b4a0e118a00', 'fa798e23-4c6d-4d3c-ab73-0c541eae99e1']",18243,Kléper Laveran Lima Ferreira,13.601471,2.1995926,Ground Pass,"[41.0, 59.0]",,Right Foot,220,220,5463,20016.0,True,1,,,,,,,,,,,,,49.0,48.0,41.0,59.0
